No.,クチコミ文章
83,煮物はもちろん、炒め物などにも重宝しています。以前は他の商品を使っていたのですが、これを使えば、あとは醤油があればたいていの料理はばっちりです。原料も国産のものを使っていて安心して使える調味料です。有機野菜などを扱っているようなお店でも取り扱いをしている信用できる商品だと思います。
84,小さいサイズを一度買って今回は大きいサイズを。今使っている他の商品はかなりお酒っぽいので使い勝手を比較したくて買いました。
85,小さいサイズを購入し味が気にいったので。今回、大きいサイズを購入することにしました。煮物などすると、味が違います。
86,小さい頃から、健康食品屋さんで母が買って使っていた商品です。引越しで近所に売っているところがなくなったので、毎回まとめ買いしています。毎日のものなので、助かります。
87,小麦アレルギーの子どもがいるので、一般的な他の商品はアウト。でもこのカテゴリの商品はお料理にかかせないので、この商品をほぼ毎月定期買いです。家族3人＆子どもは毎日お弁当ですが、だいたい10日で1本消費します。スーパーで売ってる一般的なこのカテゴリの商品にくらべてこってりしてなくて、今ではこの商品は手放せないです。もう少しお安くなってくれると嬉しい～。
88,常備しています。くどくない甘さなので私は好きです。
89,常備しています。これがないと我が家の料理はできません。おいしいし、安心材料です。
90,人気のブロガーさんオススメだったので興味があり、日用品と一緒にこちらのお店で購入してみました。煮物などにはこの商品と醤油でＯＫです。余計な添加物も入っていないし、料理に砂糖も使わなくてすむので、ちょっとお高いけれどリビートは確実かな。
91,凄く美味しい商品です。一般の他の商品と違い日本酒と併用する必要がなくお料理がツヤツヤっとホントに美味しく出来上がります！玉子焼きにもお薦め。
92,製造に3年ほどかかっているので安心です。味はとても美味しく満足です。
93,前は風味調味料や料理酒を使ってましたが、最近はずっとこの商品を使っています。
94,体にいい物を・・・と思い購入しました。思ったより、お酒の香り?が強いです。お味の方は普段のものと違いがまだわかりません。
95,値段は張りますが、この商品だけで勝負しているメーカーのもので、添加物もなくて、安心して使えるのでいつも使っています。おいしく料理できますよ。
96,味が良いし何より安全なのがうれしいです。
97,日本酒を使わなくてもいいかな・・・なかなか良いです。近所で売ってないので、買えてうれしい！
98,美味しいのでリピです。でも、調味料だけでこんなに高いので、当分は購入出来ないです。
99,評価も高く一度使用してみたいと思い購入しましたが…いまいち味に変化が無いというか実感出来ません。使い方がいけないのでしょうか。これからさらに色んな料理に活用してみようと思います。
100,評判がよいので、ためしに購入してみました。甘みがあるので、煮物は砂糖なしでよい味に仕上がります。酒の併用は必要ないとのことですが、食材の臭みを減らすにはやっぱり日本酒が必要かな・・・と思いました。風味調味料としては、使いやすくおいしい品だと思います。他の商品などを試してみてから、リピートするかどうか決めたいと思います。
101,評判が良かったので試してみました。他の商品よりももっと丸みのある柔らかなお味です。色んなものに試してみようと思います。
102,瓶入りの商品です。醸造で生成されたアルコール分、糖類、アミノ酸類、有機酸類、ビタミン類と少量の塩分を含んでおり、素材への味付けが良く、風味を引き立てます。着色料、防腐剤、香料などは使用していません。という項目に着目して期待して購入しました。こちらの一升瓶タイプもありますが冷蔵庫に入る大きさにしました。我が家の食事は塩分制限が基本なので、味付けは基本的に薄いので素材のうまさが大変重要になります。こうしていつもと違った調味料を使用してもっと美味しくできたらたらいいなと思います。
103,瓶物、液体物等玄関が２階ですので大変です。宅配だから、玄関先まで配達は助かります
104,普段から他の商品を使ってるので正直味の違いがよくわからないのでいつものでいいかな。
105,普段は他の商品を使っていましたが、この商品を初めて購入。コクがあっておすすめです。なくなったらリピート決定です。
106,原材料がシンプルで味もよく何度もリピートしてます。
107,変な物が入っていないので安心して使えるこのカテゴリの商品です。煮物が好きなので結構使います。塩・砂糖・お酒・醤油・みりん・味噌が美味しいと料理が美味しくなります。
108,確かに美味しいかも？だけど高級食材を扱うお店でも、店頭販売されてたのでビックリ。
109,他の商品を使用していましたが、興味で購入。甘くてすこし味がある、風味がある、という感じです。嫌な舌残りはありません。
